Slice #,Pic name
1,BMR18_Slide1
13,BMR18_Slide1_01
25,BMR18_Slide1_02
37,BMR18_Slide1_03
2,BMR18_Slide2
14,BMR18_Slide2_01
26,BMR18_Slide2_02
38,BMR18_Slide2_03
3,BMR18_Slide3
15,BMR18_Slide3_01
27,BMR18_Slide3_02
39,BMR18_Slide3_03
4,BMR18_Slide4
16,BMR18_Slide4_01
28,BMR18_Slide4_02
40,BMR18_Slide4_03
5,BMR18_Slide5
17,BMR18_Slide5_01
29,BMR18_Slide5_02
41,BMR18_Slide5_03
6,BMR18_Slide6
18,BMR18_Slide6_01
30,BMR18_Slide6_02
42,BMR18_Slide6_03
7,BMR18_Slide7
19,BMR18_Slide7_01
31,BMR18_Slide7_02
43,BMR18_Slide7_03
8,BMR18_Slide8
20,BMR18_Slide8_01
32,BMR18_Slide8_02
44,BMR18_Slide8_03
9,BMR18_Slide9
21,BMR18_Slide9_01
33,BMR18_Slide9_02
45,BMR18_Slide9_03
10,BMR18_Slide10
22,BMR18_Slide10_01
34,BMR18_Slide10_02
46,BMR18_Slide10_03
11,BMR18_Slide11
23,BMR18_Slide11_01
35,BMR18_Slide11_02
47,BMR18_Slide11_03
12,BMR18_Slide12
24,BMR18_Slide12_01
36,BMR18_Slide12_02
48,BMR18_Slide12_03
